average_flux,air_temp_avg,deep_soil_temp,mid_soil_temp,shallow_soil_temp,soil_moisture,light,time
0.89274,1.2417,3.5078,2.3237,2.0297,0.176,35.883,7.3333
1.0484,2.5675,3.4126,2.3358,2.0942,0.176,47.237,7.375
0.98321,7.0267,3.3985,2.5478,2.3783,0.176,79.633,7.4167
1.003,11.998,3.6221,3.5371,4.3842,0.175,507.13,7.4583
0.82711,12.74,4.1675,4.841,6.255,0.175,807.55,7.5
1.0766,12.323,4.7004,5.2668,6.4118,0.17417,190.67,7.5417
0.57119,12.03,4.9555,5.4193,6.1533,0.17467,136.72,7.5833
1.2784,11.965,5.076,5.2986,5.924,0.174,86.925,7.625
1.754,9.8167,5.1533,5.2008,5.736,0.174,64.217,7.6667
0.80869,5.1608,5.1535,4.8408,5.2048,0.174,2.9667,7.7083
1.076,2.46,4.9985,4.349,4.48,0.174,1.3,7.75
0.85719,1.0967,4.7563,3.86,3.8008,0.174,1.3,7.7917
0.61136,-0.61,4.4875,3.3992,3.204,0.174,1.3,7.8333
0.64371,-0.77875,4.2603,3.0562,2.7705,0.174,1.3,7.875
0.77369,-1.06,3.99,2.6605,2.3067,0.174,1.3,7.9167
0.47628,-1.06,3.7403,2.3242,2.0028,0.175,1.3,7.9583
0.74412,-1.06,3.534,2.1115,1.832,0.175,1.3,8
1.0228,-0.835,3.3537,1.9549,1.6655,0.174,1.3,8.0417
0.83306,-0.61,3.2038,1.8202,1.561,0.174,1.3,8.0833
0.79931,0.29,3.1009,1.7379,1.48,0.174,1.3,8.125
0.73945,0.43667,2.9917,1.6675,1.407,0.174,1.3,8.1667
0.91002,0.54667,2.8877,1.586,1.3485,0.174,1.3,8.2083
0.85418,0.29,2.7925,1.505,1.289,0.174,1.3,8.25
0.94906,-0.385,2.7237,1.4213,1.2305,0.174,2.9667,8.2917
0.84691,0.80333,2.6505,1.4055,1.18,0.174,37.55,8.3333
1.0113,2.675,2.5963,1.3935,1.187,0.174,60.987,8.375
0.94909,9.0933,2.5795,1.5878,1.2987,0.174,113.38,8.4167
0.99492,13.865,2.6741,2.4859,3.0088,0.173,875.88,8.4583
1.0772,16.76,3.367,4.266,5.821,0.173,750.05,8.5
0.87354,16.538,4.0426,4.9809,6.3268,0.173,213.8,8.5417
1.0753,15.49,4.4708,5.3878,6.382,0.173,139.63,8.5833
0.74061,14.85,4.7162,5.3685,6.2168,0.172,98.175,8.625
0.96849,11.963,4.8947,5.2907,5.966,0.172,67.55,8.6667
1.1489,7.43,4.9621,4.9772,5.415,0.17217,3.5917,8.7083
1.2087,4.36,4.869,4.44,4.636,0.172,1.3,8.75
1.1299,2.8183,4.6555,3.9147,3.9318,0.172,1.3,8.7917
0.92638,1.8867,4.4102,3.4653,3.38,0.17233,1.3,8.8333
0.85994,1.005,4.2219,3.1724,2.9828,0.172,1.3,8.875
1.1571,0.73,3.9913,2.8117,2.5837,0.172,1.3,8.9167
0.65131,0.29,3.7678,2.5247,2.2268,0.172,1.3,8.9583
0.81262,-0.61,3.5485,2.2455,1.913,0.173,1.3,9
0.87566,-0.61,3.3547,1.9995,1.796,0.17283,1.3,9.0417
0.53023,-0.61,3.1913,1.806,1.6517,0.17267,1.3,9.0833
0.7262,-0.61,3.0819,1.7171,1.5408,0.173,1.3,9.125
0.98736,-0.61,2.9747,1.6353,1.425,0.173,1.3,9.1667
0.84527,-0.61,2.8392,1.5221,1.3215,0.172,1.3,9.2083
0.69608,-1.06,2.7395,1.423,1.208,0.172,1.3,9.25
0.72409,-1.06,2.633,1.3028,1.1485,0.173,5.8833,9.2917
0.77521,-0.61,2.553,1.26,1.062,0.17233,35.467,9.3333
0.96575,0.84,2.513,1.2671,1.044,0.172,47.238,9.375
0.95902,5.0533,2.4595,1.3108,1.1077,0.172,83.383,9.4167
1.0165,11.152,2.5067,1.9778,2.3687,0.172,938.17,9.4583
1.1955,14.085,3.1285,3.628,5.514,0.172,810.05,9.5
0.90623,13.125,3.7659,4.3885,5.8767,0.17183,202.76,9.5417
0.95929,12.55,4.1323,4.713,5.7103,0.171,135.47,9.5833
1.1269,12.014,4.3332,4.6653,5.5075,0.171,93.175,9.625
1.0833,10.142,4.4583,4.623,5.3163,0.171,67.133,9.6667
0.87185,4.7425,4.493,4.2516,4.7225,0.171,3.3833,9.7083
1.0289,2.245,4.389,3.72,3.906,0.171,1.3,9.75
0.80615,0.73,4.1431,3.1991,3.2172,0.171,1.3,9.7917
1.0785,-0.16,3.9,2.78,2.6457,0.171,1.3,9.8333
0.82679,-0.61,3.704,2.4661,2.256,0.171,1.3,9.875
1.0103,-0.985,3.4607,2.1285,1.958,0.17133,1.3,9.9167
0.92306,-1.06,3.2624,1.8527,1.7105,0.171,1.3,9.9583
0.88759,-1.51,3.0855,1.7065,1.534,0.171,1.3,10
0.92584,-1.51,2.9194,1.5422,1.3395,0.17117,1.3,10.042
0.8624,-1.97,2.7707,1.4085,1.208,0.171,1.3,10.083
0.80848,-1.97,2.6629,1.2933,1.078,0.172,1.3,10.125
0.64343,-2.44,2.5575,1.1912,0.99833,0.171,1.3,10.167
0.59307,-2.44,2.4414,1.0843,0.907,0.17117,1.3,10.208
0.51168,-2.44,2.339,0.9855,0.825,0.171,1.3,10.25
0.62542,-2.44,2.2806,0.91983,0.742,0.171,4.425,10.292
0.82274,-1.6633,2.1825,0.863,0.687,0.171,41.717,10.333
0.93335,-0.2725,2.151,0.863,0.687,0.171,62.237,10.375
0.40528,4.2217,2.1195,0.891,0.715,0.171,116.3,10.417
0.76584,10.175,2.0884,0.99,0.88417,0.17083,876.09,10.458
1.0989,13.895,2.4085,2.4885,4.272,0.17,787.55,10.5
1.1664,13.446,3.0558,3.489,5.0588,0.17,207.55,10.542
0.95955,12.55,3.4718,3.9485,4.973,0.17,139.22,10.583
0.98116,12.404,3.6792,3.9776,4.8627,0.17,87.55,10.625
0.96701,8.8917,3.8797,3.9498,4.7487,0.17,64.217,10.667
0.88243,4.465,3.9451,3.6094,4.1498,0.17,6.5083,10.708
1.453,2.03,3.8275,3.1,3.354,0.17,1.3,10.75
0.94787,0.29,3.6315,2.6157,2.6858,0.17,1.3,10.792
0.63958,-0.61,3.396,2.1957,2.1103,0.17,1.3,10.833
0.85606,-0.61,3.2029,1.9119,1.8455,0.17025,1.3,10.875
1.0365,-1.06,3.0067,1.6428,1.6333,0.17033,1.3,10.917
0.56389,-1.06,2.8403,1.5332,1.4072,0.171,1.3,10.958
1.0247,-1.285,2.687,1.3945,1.262,0.171,1.3,11
0.88904,-1.51,2.5648,1.2545,1.144,0.17017,1.3,11.042
1.0114,-1.8167,2.4557,1.1638,1.0077,0.17067,1.3,11.083
0.84275,-2.3812,2.3699,1.082,0.941,0.17075,1.3,11.125
0.31518,-2.44,2.281,0.99967,0.834,0.17067,1.3,11.167
0.8286,-2.4008,2.1943,0.91792,0.742,0.171,1.3,11.208
0.87884,-2.44,2.111,0.8215,0.66,0.171,1.3,11.25
0.63367,-2.44,2.026,0.74892,0.60033,0.17,4.2167,11.292
0.79758,-1.9733,1.9675,0.6935,0.522,0.17067,39.633,11.333
0.78455,-0.32875,1.9326,0.69162,0.522,0.17,49.425,11.375
0.5344,3.8,1.905,0.71717,0.54067,0.17,90.05,11.417
0.42509,9.9133,1.8825,0.768,0.65083,0.16917,948.38,11.458
0.46954,13.315,2.0725,1.6965,3.722,0.17,716.3,11.5
0.99416,12.387,2.6879,2.9867,4.6447,0.169,199.63,11.542
0.86366,11.575,3.1108,3.5198,4.6013,0.169,148.38,11.583
1.1443,10.356,3.3301,3.6465,4.571,0.169,144.43,11.625
0.44982,9.2267,3.5557,3.7572,4.61,0.169,67.55,11.667
0.79361,6.1167,3.7047,3.5907,4.2633,0.169,1.925,11.708
0.51911,4.15,3.696,3.2995,3.722,0.169,1.3,11.75
0.80625,2.6392,3.6191,2.9547,3.2078,0.169,1.3,11.792
1.1722,2.03,3.4762,2.6567,2.7877,0.169,1.3,11.833
0.88273,1.2775,3.3461,2.4479,2.4903,0.169,1.3,11.875
0.71785,1.17,3.2112,2.2378,2.2267,0.169,1.3,11.917
1.0889,1.17,3.061,2.0522,1.9985,0.169,1.3,11.958
0.83834,1.17,2.9145,1.9105,1.832,0.169,1.3,12
0.79613,0.73,2.8282,1.7664,1.6655,0.169,1.3,12.042
0.94744,0.87667,2.7147,1.6225,1.507,0.169,1.3,12.083
0.95311,1.9762,2.6374,1.5831,1.4868,0.169,1.3,12.125
0.67462,1.17,2.5723,1.5055,1.4343,0.16967,1.3,12.167
0.56439,0.32667,2.4785,1.3763,1.2937,0.16983,1.3,12.208
1.0418,-0.16,2.3935,1.2325,1.235,0.169,1.3,12.25
0.64775,-0.385,2.3113,1.1235,1.1305,0.169,2.1333,12.292
0.90976,0.36333,2.269,1.1055,1.099,0.169,24.633,12.333
0.46296,2.03,2.2359,1.1682,1.1462,0.169,33.8,12.375
0.61168,6.35,2.2197,1.4525,1.2897,0.169,80.05,12.417
0.91462,12.611,2.4419,2.3999,3.6955,0.169,960.26,12.458
0.58636,15.425,3.234,4.113,6.585,0.169,792.55,12.5
1.2136,14.66,3.8863,4.8918,6.6867,0.168,221.93,12.542
0.98092,14.217,4.2967,5.1915,6.416,0.168,125.05,12.583
0.86059,14.232,4.4985,5.179,6.2235,0.168,134.42,12.625
0.82803,11.765,4.6653,5.1403,6.1107,0.16867,70.883,12.667
0.83316,6.755,4.7498,4.7953,5.518,0.168,4.6333,12.708
0.71086,4.57,4.662,4.336,4.74,0.168,1.3,12.75
0.912,2.8542,4.4843,3.8757,4.1105,0.168,1.3,12.792
0.91498,2.03,4.2542,3.4702,3.5647,0.168,1.3,12.833
0.62837,2.03,4.0756,3.206,3.2215,0.16875,1.3,12.875
0.7489,1.6,3.883,2.9315,2.8767,0.168,1.3,12.917
0.96532,1.17,3.679,2.6631,2.5973,0.16817,1.3,12.958
0.93085,1.17,3.523,2.4475,2.316,0.168,1.3,13
0.94001,1.17,3.3449,2.2781,2.1505,0.168,1.3,13.042
0.88299,1.6717,3.1972,2.1308,1.994,0.168,1.3,13.083
1.0126,2.6212,3.1066,2.059,1.967,0.168,1.3,13.125
0.74902,2.5317,3.0293,2.0325,1.922,0.16833,1.3,13.167
0.93273,2.03,2.9453,1.9407,1.8365,0.168,1.3,13.208
1.0401,1.17,2.8605,1.803,1.697,0.168,1.3,13.25
0.90834,1.6,2.7788,1.7085,1.6105,0.169,4.0083,13.292
0.32398,2.1733,2.71,1.686,1.597,0.168,25.05,13.333
0.77481,3.8875,2.6778,1.7667,1.7105,0.16875,40.362,13.375
0.85714,9.2233,2.7105,2.1552,2.173,0.168,80.05,13.417
0.80053,14.595,3.0002,3.1122,4.6183,0.168,940.88,13.458
